"","COUNTY.NAME","UnwelPct","pct65pls","Staffed","Beds","ICUBeds","F_Count","F_Staffed","F_Beds","F_ICUBeds","Negative","Total","PercentPositive","AREA_SQMI","E_TOTPOP","RPL_THEME1","RPL_THEME2","RPL_THEME3","RPL_THEME4","RPL_THEMES","Confirmed","Deaths","Recovered","Active","POPDEN","CASEDEN","CASEBYPOP"
"59","McMinn",20.685448351,19.475386274,88,118,4,1,88,118,4,109,112,0.0267857142857143,430.1165755,52773,0.4787,0.5106,0.5957,0.6064,0.5851,3,0,0,0,122.694643745484,0.0244509451139787,5.68472514353931e-05
"60","McNairy",23.027121564,20.304568528,0,0,0,0,0,0,0,47,48,0.0208333333333333,562.8415025,25903,0.9149,0.7128,0.4255,0.2234,0.7553,1,0,0,0,46.0218372045157,0.0217288152916651,3.86055669227503e-05
"61","Meigs",20.992550743,20.724229367,0,0,0,0,0,0,0,24,25,0.04,195.1350496,11962,0.5638,0.4468,0.3085,0.1277,0.3085,1,0,0,0,61.3011349038548,0.0163129116870089,8.35980605249958e-05
"62","Monroe",21.878542344,20.661764706,59,59,0,1,59,59,0,89,94,0.0531914893617021,635.7026171,45876,0.8298,0.5745,0.4362,0.2979,0.7021,5,0,0,0,72.1658189945495,0.0692848784876624,0.000108989449821257
"63","Montgomery",19.71861039,9.05675835,275,311,21,2,275,311,21,380,399,0.0476190476190476,539.1646483,196387,0.2021,0.5957,0.9149,0.2553,0.3404,19,0,0,0,364.243094607952,0.0521629655613661,9.6747748068864e-05
"64","Moore",16.343665213,21.177944862,0,0,0,0,0,0,0,14,14,0,129.2224934,6322,0.0638,0.0532,0.117,0.0213,0,0,0,0,0,48.9233711071543,0,0
"65","Morgan",22.972932997,17.401552967,0,0,0,0,0,0,0,23,24,0.0416666666666667,522.1796653,21596,0.8191,0.3617,0.3191,0.9362,0.7979,1,0,0,0,41.3574128505996,0.0241794621828116,4.63048712724579e-05
"66","Obion",22.890511309,20.065821952,63,173,0,1,63,173,0,59,60,0.0166666666666667,544.8494153,30520,0.6277,0.883,0.7872,0.5,0.883,1,0,0,0,56.0154771996871,0.017852208889253,3.27653997378768e-05
"67","Overton",21.072924562,20.225331637,90,114,6,1,90,114,6,61,63,0.0317460317460317,433.4850266,22004,0.5319,0.3085,0.0957,0.3936,0.2766,2,0,0,0,50.7606921802729,0.0394005659516452,9.0892564988184e-05
"68","Perry",23.149664013,21.166144201,21,53,0,1,21,53,0,17,19,0.105263157894737,414.7453437,7912,0.7872,0.6383,0.1596,0.9255,0.7872,2,0,0,0,19.0767663101796,0.104839571208291,0.000252780586450961
"69","Pickett",19.261092225,27.301399566,0,0,0,0,0,0,0,7,7,0,162.9787253,5088,0.4681,0.3404,0.0745,0.4894,0.266,0,0,0,0,31.2187985924811,0,0
"70","Polk",19.87724238,20.725666885,0,0,0,0,0,0,0,17,17,0,434.6029634,16782,0.5638,0.2447,0.0638,0.3404,0.2553,0,0,0,0,38.614554923212,0,0
"71","Putnam",20.065328983,16.386435616,211,247,38,1,211,247,38,207,231,0.103896103896104,401.1061484,76440,0.383,0.1383,0.766,0.5532,0.4362,24,0,0,0,190.572994966337,0.125935996357928,0.000313971742543171
"72","Rhea",21.833054088,18.451561592,25,25,3,1,25,25,3,56,57,0.0175438596491228,315.3827882,32628,0.8511,0.8085,0.7128,0.5106,0.9362,1,0,0,0,103.455233515498,0.00966601655633198,3.06485227412039e-05
"73","Roane",19.020525933,22.467757749,52,54,6,1,52,54,6,86,88,0.0227272727272727,360.7300248,52897,0.234,0.2872,0.3617,0.3617,0.1489,2,0,0,0,146.638750210293,0.0136389596687903,3.78093275611093e-05
